email;passwordHash;nom;prenom;telephone;dateInscription;statut;role;nomPharmacie;adresse;numeroLicence;horaires;latitude;longitude;ouvert;garde;seuilStock;debutMatin;finMatin;debutApresMidi;finApresMidi
hmidanadhem4@gmail,com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Ben Salah;Nizar;+216 71 245 678;2024-01-12T09:00:00;actif;pharmacie;Pharmacie Centrale;Avenue Habib Bourguiba, Tunis;PH-20145;Lun-Sam 08:00-20:00;36.800640;10.185270;true;false;15;08:00;13:00;15:00;19:00
pharmacie.elmanar@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Karoui;Faten;+216 71 356 789;2024-01-28T10:30:00;actif;pharmacie;Pharmacie El Manar;Rue de l'Universite, El Manar, Tunis;PH-20231;Lun-Ven 08:30-19:30, Sam 08:30-13:00;36.838900;10.155600;true;false;20;08:30;13:00;15:00;19:30
pharmacie.ibnsina@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Brahmi;Slim;+216 71 467 890;2024-02-14T08:45:00;actif;pharmacie;Pharmacie Ibn Sina;Avenue Hedi Nouira, Ariana;PH-20318;Lun-Sam 08:00-20:00;36.862500;10.195600;true;true;10;08:00;13:00;15:00;19:00
pharmacie.liberte@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Hamdi;Olfa;+216 71 578 901;2024-03-02T14:20:00;actif;pharmacie;Pharmacie de la Liberte;Avenue de la Liberte, Tunis;PH-20402;Lun-Sam 08:00-19:00;36.812300;10.175400;true;false;25;08:00;13:00;15:00;19:00
pharmacie.elamen.sousse@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Mejri;Ramzi;+216 73 689 012;2024-03-19T11:10:00;actif;pharmacie;Pharmacie El Amen;Avenue Leopold Senghor, Sousse;PH-20517;Lun-Dim 08:00-22:00;35.825600;10.636400;true;true;15;08:00;13:00;15:00;20:00
pharmacie.carthage@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Bel Hadj;Sana;+216 71 790 123;2024-04-05T09:35:00;actif;pharmacie;Pharmacie Carthage;Rue du Maroc, La Marsa, Tunis;PH-20633;Lun-Sam 08:30-20:00;36.878300;10.324700;true;false;20;08:30;13:00;15:00;19:30
pharmacie.elnasr.sfax@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Kammoun;Tarek;+216 74 801 234;2024-04-23T13:00:00;actif;pharmacie;Pharmacie El Nasr;Avenue Majida Boulila, Sfax;PH-20748;Lun-Sam 08:00-19:30;34.740600;10.760300;true;false;15;08:00;13:00;15:00;19:30
pharmacie.ennour.nabeul@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Sellami;Hedia;+216 72 912 345;2024-05-11T10:15:00;actif;pharmacie;Pharmacie Ennour;Avenue Habib Thameur, Nabeul;PH-20851;Lun-Sam 08:00-20:00;36.451300;10.735700;true;false;10;08:00;13:00;15:00;19:00
pharmacie.elyasmine@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Riahi;Wael;+216 71 023 456;2024-05-29T15:40:00;inactif;pharmacie;Pharmacie El Yasmine;Cite El Yasmine, Ben Arous;PH-20967;Lun-Ven 08:30-19:00;36.753400;10.218900;false;false;20;08:30;13:00;15:00;19:00
pharmacie.elfath.bizerte@gmail.com;$2a$10$pYPEmCEA4f4w07dZ5HxXe.vCX6VWIs6hByR1xZdiGwjWA4oB8nIwy;Chedly;Imen;+216 72 134 567;2024-06-15T08:50:00;actif;pharmacie;Pharmacie El Fath;Avenue Habib Bourguiba, Bizerte;PH-21044;Lun-Sam 08:00-19:30;37.274600;9.873900;true;true;15;08:00;13:00;15:00;19:30
